QuestID;InterviewDate;InterviewLengthSec;InterviewStatus;AgeBands;Region;BA01R_KA_1;BA02R_271_PL;BA02R_272_PL;BA02R_273_PL;BA02R_274_PL;BA02R_279_PL;BA02R_280_PL;BA02R_282_PL;BA02R_283_PL;BA02R_284_PL;BA02R_285_PL;SU01R;NPS01R
141;28.04.2020;172;1;2;907;0;1;1;1;1;0;0;1;1;0;0;541;1
142;28.04.2020;402;1;4;907;0;1;1;1;1;0;1;1;1;0;0;541;7
143;12.04.2020;247;1;3;906;0;0;0;0;1;0;1;1;1;0;0;542;9
144;05.04.2020;289;1;5;907;0;1;1;1;1;0;1;1;1;0;1;541;4
145;27.04.2020;1402;1;3;909;0;1;1;1;1;1;0;1;1;0;0;543;7
146;27.04.2020;305;1;3;907;0;1;1;1;1;0;0;1;1;0;1;541;2
147;06.04.2020;462;1;5;908;0;0;1;1;1;0;1;1;1;0;0;542;9
148;02.04.2020;703;1;1;916;0;0;1;1;1;0;0;1;1;1;0;544;8
149;16.04.2020;383;1;2;907;0;1;1;1;1;0;1;1;1;0;0;541;1
150;11.04.2020;104;1;2;907;0;0;1;1;1;0;0;0;0;0;0;542;3
151;27.04.2020;753;1;2;910;0;1;1;1;1;1;1;1;1;0;1;541;3
152;07.04.2020;257;1;5;906;0;0;1;0;1;0;0;0;0;0;0;542;1
153;15.04.2020;575;1;2;907;0;1;1;1;1;0;1;1;0;0;0;541;8
154;07.04.2020;945;1;5;912;0;0;1;0;0;0;0;1;1;0;0;542;2
155;15.04.2020;147;1;3;912;0;0;1;1;1;1;1;1;1;0;0;542;0
156;23.04.2020;211;1;2;903;0;1;1;1;1;1;1;1;1;1;1;541;2
157;06.04.2020;718;1;5;903;0;0;1;1;0;1;0;1;0;0;0;543;7
158;06.04.2020;170;1;4;906;0;1;1;1;1;1;1;1;1;0;0;541;5
159;02.04.2020;611;1;1;907;0;1;1;1;1;1;1;1;1;0;0;549;8
160;10.04.2020;1931;1;2;915;0;0;1;1;1;1;1;1;1;1;0;544;3
161;14.04.2020;142;1;1;907;0;1;0;1;1;0;0;0;0;0;0;541;9
162;30.04.2020;443;1;2;904;0;1;1;1;1;1;1;1;1;1;1;541;7
163;09.04.2020;623;1;2;901;0;1;1;1;1;1;1;1;1;1;1;542;1
164;11.04.2020;230;1;4;912;0;0;1;0;0;0;0;0;0;0;0;542;7
165;10.04.2020;233;1;4;901;0;0;1;1;1;0;0;1;1;0;0;542;5
166;14.04.2020;185;1;3;904;0;0;1;1;1;1;1;1;1;0;0;553;6
167;02.04.2020;1189;1;5;901;0;0;1;0;0;0;0;0;1;0;0;542;8
168;19.04.2020;298;1;4;907;0;1;1;1;1;0;0;1;1;0;0;541;8
169;14.04.2020;217;1;3;911;0;1;1;1;1;1;1;1;1;1;0;541;9
170;03.04.2020;374;1;4;914;0;0;1;1;1;1;0;1;1;0;0;552;3
171;15.04.2020;221;1;3;911;0;1;1;1;1;1;1;1;1;1;0;541;9
172;15.04.2020;500;1;3;907;0;1;1;1;1;0;0;1;1;0;0;541;4
173;14.04.2020;217;1;2;907;0;1;1;0;0;0;0;1;1;0;0;541;8
174;13.04.2020;210;1;2;903;0;0;1;1;1;1;1;1;1;0;0;543;3
175;21.04.2020;146;1;3;911;0;1;1;1;1;1;1;1;1;1;0;541;6
176;03.04.2020;167;1;1;909;0;0;0;1;0;0;0;0;1;0;0;543;6
177;08.04.2020;594;1;5;907;0;1;1;1;1;0;1;1;1;0;0;552;0
178;05.04.2020;533;1;5;906;0;0;1;1;1;0;1;1;1;0;0;542;2
179;20.04.2020;207;1;1;907;0;1;1;1;1;0;0;1;1;0;0;541;4
180;15.04.2020;196;1;5;907;0;1;1;1;1;0;0;1;1;0;0;541;5
181;10.04.2020;220;1;4;902;0;0;1;1;1;0;0;1;1;0;0;543;8
182;27.04.2020;227;1;3;907;0;1;1;1;1;0;0;1;1;0;1;541;8
183;03.04.2020;246;1;1;912;0;0;1;0;1;1;1;1;0;0;0;542;8
184;03.04.2020;176;1;1;910;0;0;0;0;0;1;1;1;0;0;0;550;9
185;13.04.2020;312;1;4;912;0;0;1;1;1;1;0;1;1;0;0;542;2
186;03.04.2020;463;1;1;907;0;1;1;1;1;0;0;1;1;0;0;553;5
187;24.04.2020;549;1;2;907;0;1;1;1;1;1;1;1;1;0;1;541;4
188;15.04.2020;172;1;3;902;0;0;0;0;0;0;0;1;0;0;0;552;3
189;06.04.2020;456;1;5;902;0;0;1;0;1;0;1;1;1;0;0;550;1
190;11.04.2020;222;1;2;904;0;1;1;1;1;1;1;1;1;0;1;541;8
191;05.04.2020;183;1;5;907;0;1;1;1;1;0;0;0;1;0;0;541;5
192;29.04.2020;430;1;4;907;0;1;1;1;1;0;0;1;1;0;1;541;4
193;11.04.2020;397;1;2;907;0;0;1;1;1;0;0;1;1;0;0;543;3
194;11.04.2020;1122;1;3;912;0;0;1;1;0;1;1;1;1;0;0;542;6
195;21.04.2020;344;1;4;907;0;1;1;1;1;0;0;1;1;0;0;541;9
196;24.04.2020;459;1;2;907;0;1;1;1;1;0;0;1;0;0;0;541;7
197;24.04.2020;377;1;4;907;0;1;1;1;1;0;0;1;1;0;0;541;6
198;15.04.2020;334;1;3;909;0;0;1;1;1;0;0;1;0;0;0;543;2
199;06.04.2020;306;1;5;906;0;0;1;0;1;0;1;1;0;0;0;550;1
200;27.04.2020;197;1;3;907;0;1;1;1;1;1;1;0;1;1;0;541;1
201;04.04.2020;235;1;5;904;0;1;1;1;1;1;1;1;1;1;1;541;3
202;05.04.2020;406;1;5;901;0;0;1;0;0;0;0;1;0;1;0;542;5
203;16.04.2020;394;1;3;907;0;1;1;1;1;0;0;1;1;0;0;541;1
204;03.04.2020;450;1;1;915;0;0;1;1;1;0;1;1;1;0;0;544;8
205;25.04.2020;210;1;2;907;0;1;1;1;1;0;1;1;1;0;0;541;6
206;22.04.2020;558;1;4;915;0;1;1;1;1;1;1;1;1;1;0;544;6
207;03.04.2020;501;1;1;915;0;1;1;1;1;1;1;1;1;1;0;544;1
208;11.04.2020;451;1;3;901;0;0;1;1;1;0;0;0;1;0;0;542;8
209;15.04.2020;312;1;5;907;0;1;1;1;1;0;1;1;1;0;0;541;9
210;15.04.2020;179;1;2;907;0;1;0;0;1;0;0;0;0;0;1;541;3
211;26.04.2020;279;1;4;907;0;1;1;1;1;0;0;1;1;0;1;541;1
212;07.04.2020;281;1;5;907;0;1;0;0;0;0;0;0;1;0;0;541;2
213;06.04.2020;703;1;5;903;0;0;0;1;0;0;0;1;0;0;0;543;0
214;27.04.2020;677;1;2;907;0;1;0;1;1;0;1;1;1;0;0;541;1
215;25.04.2020;483;1;2;907;0;1;1;1;0;0;0;1;1;0;0;541;0
216;26.04.2020;543;1;2;907;0;1;1;1;1;0;0;0;1;0;0;541;2
217;19.04.2020;168;1;3;907;0;1;1;1;1;1;1;1;1;1;1;541;3
218;28.04.2020;836;1;2;907;0;1;1;1;1;0;1;0;1;0;0;541;0
219;12.04.2020;259;1;3;904;0;0;1;1;1;1;0;1;1;0;0;543;2
220;14.04.2020;215;1;4;912;0;0;1;1;0;0;0;1;1;0;0;542;9
221;15.04.2020;548;1;2;914;0;1;0;1;1;1;1;1;0;0;0;552;3
222;28.04.2020;619;1;2;907;0;1;1;1;1;0;1;0;1;0;0;541;4
